abook,
opensc,
openssh,
openvpn,
ophcrack,
oroborus,
oss4,
otter,
owl,
pacemaker,
parrot,
pcb,
pccts,
pcsxr,
pidgin,
plotutils,
pmw,
poc-streamer,
polybori,
popa3d,
pork,
posh,
postgresql-8.4,
postgresql-9.1,
ppp,
prayer,
prima,
procmail,
proftpd-dfsg,
pspp,
psqlodbc,
ptlib,
putty,
qemu,
qemu-kvm,
qingy,
quesoglc,
qutecom,
racket,
radare2,
radiance,
readline5,
readline6,
reaver,
redhat-cluster,
regina-rexx,
reiser4progs,
reiserfsprogs,
remake,
remote-tty,
rplay,
rpm,
ruby-gnome2,
ruby-ldap,
rxvt,
rxvt-beta,
s390-tools,
samba,
samba4,
scheme48,
scilab,
screader,
screen,
scrounge-ntfs,
scsh-0.6,
sdop,
seabios,
searchmonkey,
sextractor,
sgt-puzzles,
shapetools,
sibsim4,
sibyl,
siggen,
silo,
sim4,
sitecopy,
slirp,
smartlist,
snort,
socks4-server,
slrn,
spacearyarya,
spass,
splitvt,
spooles,
ssvnc,
stimfit,
sushi,
swig2.0,
synopsis,
syslinux,
syslog-ng,
tcp-wrappers,
teg,
testdisk,
tftp-hpa,
tar,
tickr,
tightvnc,
tin,
tintin++,
tkdesk,
tkgate,
tomcat-native,
torque,
trayer,
tsdecrypt,
tstools,
typespeed,
u-boot,
uncrustify,
unixodbc,
uptimed,
uqwk,
uw-imap,
valgrind,
vavoom,
vde2,
uhub,
videogen,
virtualbox,
vlc,
vnc4,
vnstat,
vorbisgain,
wayv,
webauth,
wily,
wine,
wipe,
wise,
wmaker,
wmbiff,
wmifs,
wmitime,
wmix,
wmmon,
wmnd,
wmpinboard,
wmppp.app,
wmressel,
wmtime,
wmtv,
x11-apps,
x11-session-utils,
x11-xkb-utils,
windowlab,
xball,
xboing,
xen,
xenomai,
xfingerd,
xfpt,
xfwm4,
xgalaga,
xgammon,
xine-ui,
xinetd,
xiterm+thai,
xjump,
xl2tpd,
xli,
xloadimage,
xmhtml,
xmille,
xmp,
xnec2c,
xorg-server,
xpaint,
xkbset,
texlive-bin,
xtel,
xterm,
xtrkcad,
xtux,
xymon,
xzgv,
yabause,
ygl,
z88dk,
zapping,
ziproxy,
zoo,
zfs-fuse,
zssh,
zvbi,
