3dchess,
dtaus,
dump,
dvbstreamer,
dvdbackup,
dvipost,
dx,
dzen2,
e2fsprogs,
easyh10,
eclipse-cdt,
ecryptfs-utils,
ed,
ed2k-hash,
efreet,
ekg2,
elektra,
elinks,
elk,
elmerfem,
elvis-tiny,
emerillon,
empire,
enigmail,
enscript,
enum,
eog,
esmtp,
eterm,
etherape,
etw,
eukleides,
euler,
evas,
evilwm,
evince,
evolution,
eclipse-linuxtools,
eggdrop,
elvis,
excellent-bifurcation,
exif,
exifprobe,
exo,
extace,
exuberant-ctags,
eztrace,
f2c,
faad2,
faumachine,
fbpanel,
fceu,
fcitx-configtool,
fdclone,
febootstrap,
feh,
fenix,
ffproxy,
ffrenzy,
fftw3,
fhist,
file-roller,
filetea,
firebird2.5,
firmware-free,
flac,
flex,
flex-old,
flexloader,
florence,
exfat-utils,
faifa,
fcrackzip,
foremost,
forked-daapd,
fossil,
foxtrotgps,
fpm2,
fprint-demo,
fprintd,
freebsd-buildutils,
freebsd-quota,
freebsd-utils,
freecell-solver,
freedink-data,
freedroid,
freegish,
freemat,
freemedforms-project,
freesweep,
freetuxtv,
freedroidrpg,
freetds,
frogr,
frotz,
fso-datad,
fso-deviced,
fso-gsmd,
fso-usaged,
fstrcmp,
ftdi-eeprom,
funnelweb,
fuse-exfat,
fwlogwatch,
fxload,
fyre,
g15daemon,
g2clib,
g2ipmsg,
g3data,
g3dviewer,
galculator,
gamazons,
gambas3,
gambc,
gammu,
garden-of-coloured-lights,
gargoyle-free,
gauche,
gawk,
gcc-h8300-hms,
gccxml,
gcl,
gcompris,
gconf-editor,
gconjugue,
gdb,
gdis,
gdm3,
gdmap,
gdpc,
geany,
geeqie,
geki3,
gems,
genisovh,
geoclue,
geomview,
gerbv,
gerstensaft,
gfm,
gfpoken,
ghc,
ghex,
gigolo,
gimp,
gimp-plugin-registry,
gimp-texturize,
gcolor2,
geki2,
gforth,
gjacktransport,
gkdebconf,
gkrellm,
gkrellm-xkb,
glade,
glade-3,
glbsp,
gliv,
globs,
globus-gram-job-manager,
globus-scheduler-event-generator,
glosstex,
gluas,
glurp,
gmanedit,
gmediaserver,
gmerlin,
gmfsk,
gmidimonitor,
gmp-ecm,
gmpc,
gmtp,
gngb,
gnome-bluetooth,
gnome-boxes,
gnome-contacts,
gnome-control-center,
gnome-dictionary,
gnome-games,
gnome-media,
gnome-mplayer,
gnome-mud,
gnome-nettool,
gnome-paint,
gnome-panel,
gnome-phone-manager,
gnome-session,
gnome-settings-daemon,
gnome-shell,
gnome-subtitles,
gnome-sushi,
gnome-system-tools,
gnome-u2ps,
gnomekiss,
gnomint,
gnotime,
gnome-applets,
gnome-online-accounts,
gnu-smalltalk,
gnubik,
gnugo,
gnujump,
gnurobots,
gnushogi,
gnutls26,
gob2,
goban,
golang,
goo,
goobox,
gozer,
gpac,
gpaint,
gpdftext,
gpe-announce,
gpe-appmgr,
gpe-bluetooth,
gpe-calendar,
gpe-conf,
gpe-confd,
gpe-contacts,
gpe-edit,
gpe-filemanager,
gpe-gallery,
gpe-mininet,
gpe-othello,
gpe-ownerinfo,
gpe-shield,
gpe-soundbite,
gpe-timesheet,
gpe-todo,
gpesyncd,
gphoto2,
gphpedit,
gpiv,
gplanarity,
gpm,
gpr,
gpredict,
gpsbabel,
gpstrans,
gputils,
gpx2shp,
grace,
graphviz,
grass,
grcm,
grdesktop,
grep,
gridengine,
grig,
grilo,
grilo-plugins,
grisbi,
grok,
gromacs,
grpn,
grsync,
grub,
grub2,
gsetroot,
gsmc,
gsql,
gstm,
gtans,
gthumb,
gtimer,
gtk+2.0,
gtk+3.0,
gtk-chtheme,
gtk-gnutella,
gtk-theme-switch,
gtk2-engines,
gtk2-engines-magicchicken,
gtkam,
gtkatlantic,
gtkhash,
gtkhtml3.14,
gtkhtml4.0,
gtkperf,
gtkpod,
gnumach,
gnusim8085,
gpe-julia,
gprolog,
grafx2,
gtkwave,
gtranslator,
gucharmap,
gummi,
gupnp-tools,
gurlchecker,
gv,
gvfs,
gwaterfall,
gweled,
gworldclock,
gxine,
gxneur,
gyp,
hal,
halibut,
gwhere,
hatari,
heimdal,
heirloom-mailx,
helium,
heroes,
hexer,
hfsplus,
hfsprogs,
hitori,
hping3,
hspell-gui,
httping,
httrack,
hunt,
hwloc,
i3-wm,
ibus,
ibus-array,
ibus-chewing,
ibus-hangul,
ibus-input-pad,
ibus-m17n,
icecast2,
icedove,
iceweasel,
icon-slicer,
icoutils,
ifd-gempc,
ifpgui,
ikarus,
inadyn,
indigo,
inetutils,
herbstluftwm,
hfsutils,
hkl,
inkscape,
inn2,
innfeed,
instead,
integrit,
intone,
iok,
ipband,
ipip,
ippl,
ips,
ipsec-tools,
ipxe,
ircd-ratbox,
irda-utils,
isatapd,
isdnutils,
isns,
isoqlog,
isync,
italc,
iverilog,
ivykis,
jack-rack,
jackeq,
jamin,
jazip,
jbofihe,
jclassinfo,
jed,
jeex,
jesred,
jless,
jocaml,
joe,
jpnevulator,
jumpnbump,
jupp,
jwm,
kalzium,
kanatest,
kate,
kbuild,
kcov,
kdenetwork,
kdeplasma-addons,
kdrill,
ketm,
keybinder,
keytouch-editor,
kfreebsd-8,
kfreebsd-9,
kildclient,
kimwitu,
kino,
klavaro,
klibc,
knews,
kon2,
kraptor,
krb5,
krb5-appl,
ksh,
kterm,
kwalletcli,
ladish,
ladvd,
lame,
larswm,
latex2rtf,
latexila,
keepalived,
lbreakout2,
lcab,
lcdproc,
ldb,
ldm,
leafpad,
lebiniou,
less,
lesstif2,
levee,
lhasa,
libaio,
libarchive,
libaqbanking,
libbonobo,
libbonoboui,
libcddb,
libchipcard,
libcsoap,
libctl,
libdbd-sqlite2-perl,
libdebian-installer,
libdbusmenu,
libdrm,
libexplain,
libf2c2,
libgda5,
libgsecuredelete,
libgsf,
libgtop2,
libguestfs,
libgwenhywfar,
libhtp,
libical,
libifp,
libiodbc2,
libiptcdata,
libkqueue,
libmpdclient,
libnetfilter-conntrack,
libnih,
liboggz,
libpar-packer-perl,
libpthread-workqueue,
libraw1394,
libreoffice,
librep,
librtfcomp,
libsdl-perl,
libsdl1.2,
libsocialweb,
libssh,
libsvm,
libsx,
libtext-markdown-discount-perl,
libtool,
libvisual-plugins,
libvncserver,
libwebcam,
libusbtc08,
libwx-perl,
libx11-guitest-perl,
libxr,
lie,
lifelines,
liferea,
lincity,
links2,
linphone,
linsmith,
linux,
linux-atm,
linux-igd,
linux-tools,
linux86,
linuxdoc-tools,
linuxtv-dvb-apps,
liquidwar,
listaller,
live-f1,
lives,
lldpd,
llvm-2.9,
llvm-3.0,
llvm-3.1,
libxfce4util,
lm-sensors,
lmarbles,
lnpd,
logapp,
logtool,
loqui,
lrzip,
lsof,
ltrace,
ltris,
lttv,
lua-dbi,
luatex,
lunzip,
luola,
lush,
lv2proc,
lxappearance-obconf,
lxtask,
lyskom-server,
lzlib,
m17n-im-config,
m2vrequantiser,
macopix,
magic,
mailagent,
make-dfsg,
makejvf,
maloc,
maq,
matchbox-desktop,
matchbox-window-manager,
mathomatic,
macchanger,
mawk,
maximus,
mboxgrep,
mc,
mcabber,
mcpp,
mdbtools,
mdbus,
medit,
memphis,
memtest86,
memtest86+,
mendexk,
metacity,
metar,
meterbridge,
mg,
mgetty,
mgp,
mhwaveedit,
microdc2,
micropolis-activity,
midish,
midori,
minbar,
minc,
ming,
mingw-w64,
mini18n,
minicom,
miredo,
mirrormagic,
missidentify,
mixal,
mixmaster,
mksh,
mktorrent,
mkvmlinuz,
mlt,
mlv-smile,
mmorph,
mmpong,
moc,
modemmanager,
modules,
mokomaze,
monkeystudio,
mono,
mono-uia-atkbridge,
moodbar,
moria,
morla,
most,
mousepad,
mozart,
mozjs,
mhddfs,
mlterm,
mpc,
mpd,
mplayer,
mrxvt,
mscgen,
mspdebug,
mtpaint,
muddleftpd,
multipath-tools,
mupen64plus-audio-sdl,
mupen64plus-core,
mupen64plus-rsp-hle,
mupen64plus-ui-console,
mutt,
muttprint,
mysql-5.5,
nabi,
nacl,
nas,
nast,
nautilus-actions,
navit,
nc6,
ncbi-tools6,
ncdu,
ncftp,
ncmpc,
ncurses-hexedit,
nd,
neartree,
nec2c,
necpp,
neko,
net-acct,
net-snmp,
netatalk,
netbeans,
netcdf,
netdiscover,
netkit-bootparamd,
netkit-ftp,
netkit-ftp-ssl,
netkit-tftp,
netpbm-free,
netplug,
netrek-client-cow,
netrik,
netsend,
netsurf,
netw-ib-ox-ag,
network-manager,
network-manager-applet,
network-manager-iodine,
network-manager-openvpn,
network-manager-pptp,
network-manager-strongswan,
network-manager-vpnc,
neverball,
mpich2,
muroard,
mutter,
ng,
ngraph-gtk,
nickle,
ninja,
nip2,
nomarch,
notify-osd,
notmuch,
noweb,
nrss,
nsis,
nss,
nss-updatedb,
ntop,
ntp,
nufw,
numdiff,
numlockx,
nut,
nut-nutrition,
nvclock,
nvi,
nwchem,
obdgpslogger,
obexd,
obfsproxy,
ocaml,
ocfs2-tools,
ocp,
octave,
ofono,
ogamesim,
olsrd,
omniorb-dfsg,
onak,
notebook,
obconf,
opal,
open-axiom,
open-vm-tools,
openafs,
openarena,
openbios-ppc,
openbios-sparc,
openblas,
openconnect,
openhackware,
openldap,
openmpi,
openocd,
openscap,
opensm,
orage,
oregano,
original-awk,
oss4,
otter,
overgod,
pacemaker,
packeth,
packit,
pal,
parcellite,
parchive,
parole,
parrot,
partclone,
partitioner,
openmeeg,
osmo,
pcb,
pccts,
pcsxr,
pdfcrack,
pdfresurrect,
pdlzip,
pdnsd,
pdsh,
pecomato,
pegasus-wms,
pegsolitaire,
penguin-command,
petris,
pgbouncer,
pgn-extract,
pgpgpg,
pgpool2,
phlipple,
php5,
phyml,
pianobar,
picolisp,
picosat,
pidentd,
pidgin-twitter,
pigment,
pimd,
perl-byacc,
pioneers,
pixelize,
pkg-config,
plan,
plotdrop,
plotutils,
plymouth,
pmake,
pmw,
pngphoon,
poa,
policykit-1-gnome,
polipo,
polyglot,
poppler,
popplerkit.framework,
portslave,
posh,
postgresql-8.4,
postgresql-9.1,
postgresql-plproxy,
potrace,
powermanga,
pperl,
ppp,
predict,
prips,
privbind,
proftpd-dfsg,
proll,
proxychains,
psensor,
psignifit,
pinentry,
pktstat,
policykit-1,
prelink,
pspp,
pstotext,
ptlib,
pulseaudio,
pure-ftpd,
putty,
pv,
pwauth,
pykerberos,
pymol,
pyrex,
python-plwm,
python2.6,
python2.7,
python3.2,
qemu,
qemu-kvm,
qingy,
qiv,
qsf,
qt4-x11,
qtcreator,
qtwebkit,
quagga,
quicksynergy,
quik,
quitcount,
qwo,
r-base,
racket,
radare2,
radsecproxy,
rake,
ramond,
rant,
ratpoison,
rc,
quotatool,
rats,
recite,
recode,
redhat-cluster,
redsocks,
refit,
reiserfsprogs,
remake,
remind,
reprepro,
restartd,
rfdump,
rgbpaint,
rhythmbox,
ripperx,
ristretto,
rlinetd,
rlwrap,
rockdodger,
root-system,
rox,
roxterm,
rrdtool,
rsymphony,
rsync,
rtpproxy,
rubrica,
rolldice,
rsrce,
ruby1.8,
ruby1.9.1,
rxvt,
rxvt-beta,
rzip,
s390-tools,
s3d,
samba,
samba4,
samtools,
sanduhr,
sanlock,
savi,
sawfish,
scanmem,
scantool,
scheme2c,
scheme48,
schism,
sciteproj,
scrot,
scrounge-ntfs,
scrypt,
scsh-0.6,
sdcc,
sdl-sound1.2,
searchandrescue,
searchmonkey,
seed,
sensors-applet,
sextractor,
sflphone,
sgrep,
shapetools,
shell-fm,
shoes,
sibyl,
siege,
sigma-align,
sigscheme,
silo,
simulavr,
sip4,
sispmctl,
sitecopy,
sketch,
skinedit,
skksearch,
skyeye,
slirp,
smbnetfs,
sng,
snooper,
socks4-server,
screentest,
solid-pop3d,
sonic,
soundmodem,
spacearyarya,
speakup,
splint,
spotlighter,
sqlite,
sqlite3,
squeeze,
squid3,
squidguard,
sra-sdk,
ssdeep,
ssldump,
stalonetray,
stax,
strongswan,
subsurface,
subversion,
suricata,
swami,
swapspace,
squid,
sshpass,
sweep,
swi-prolog,
swig2.0,
sxiv,
sylpheed,
sympow,
synce-hal,
synce-trayicon,
syslinux,
syslog-ng,
system-tools-backends,
systemd,
tabix,
tablix2,
tachyon,
tagtool,
talloc,
tart,
task-spooler,
tasks,
tau,
tcm,
tcpflow,
tcptraceroute,
tdb,
tdl,
teg,
telegnome,
telepathy-gabble,
telepathy-haze,
tenace,
tenmado,
tessa,
tetrinetx,
tevent,
tf,
tf5,
tftp-hpa,
syncevolution,
telepathy-glib,
thewidgetfactory,
thunar,
thunar-vcs-plugin,
thunar-volman,
tiemu,
tightvnc,
timemachine,
tin,
tina,
tint2,
tintin++,
tinyproxy,
tk-html3,
tnef,
tnftp,
toilet,
tor,
transmission,
trayer,
trousers,
trueprint,
tilp2,
tthsum,
tucnak2,
tumbler,
tuxtype,
tweak,
twofish,
twoftpd,
u-boot,
ucblogo,
udftools,
udisks,
udisks-glue,
ufsutils,
uim,
unicon,
unrtf,
unworkable,
up-imapproxy,
upstart,
usbmuxd,
usbview,
vagalume,
valatoys,
valgrind,
vdr-plugin-epgsearch,
u3-tool,
uhub,
via,
vigor,
viking,
vile,
vilistextum,
vim,
vino,
virtualbox,
vnc4,
vrfy,
vsftpd,
vttest,
vtun,
vxl,
vzquota,
w3m,
wcalc,
wcd,
webkit,
webkit2pdf,
welcome2l,
wget,
whitedune,
win32-loader,
wine,
wine-gecko-1.4,
winwrangler,
wireshark,
wizznic,
wmaker,
wmclockmon,
wmctrl,
wmdiskmon,
wmii,
wmlongrun,
wmmemload,
wmtemp,
wordgrinder,
wpa,
wraplinux,
x11-apps,
weplab,
why,
windowlab,
wmcpuload,
x11vnc,
x2,
xacobeo,
xarchiver,
xbattle,
xbmc,
xboing,
xcfa,
xcp-vncterm,
xdebug,
xdemineur,
xdemorse,
xdvik-ja,
xen,
xfaces,
xfce4-appfinder,
xfce4-dev-tools,
xfce4-diskperf-plugin,
xfce4-genmon-plugin,
xfce4-linelight-plugin,
xfce4-mixer,
xfce4-panel,
xfce4-quicklauncher-plugin,
xfce4-screenshooter,
xfce4-sensors-plugin,
xfce4-session,
xfce4-settings,
xfce4-taskmanager,
xfce4-terminal,
xfce4-utils,
xfce4-volumed,
xfconf,
xfdesktop4,
xfig,
xfireworks,
xfmpc,
xfprint4,
xfs,
xfsdump,
xfswitch-plugin,
xfwm4,
xgalaga,
xine-ui,
xinetd,
xiphos,
xiterm+thai,
xjadeo,
xjump,
xless,
xlog,
xmlindent,
xmlrpc-c,
xmms2,
xmorph,
xmotd,
xmp,
xnec2c,
xnee,
xoo,
xorg-server,
xournal,
xpaint,
xpenguins,
xpilot-ng,
xplanet,
xppaut,
xfce4-notifyd,
xkbset,
network-manager-openconnect,
texlive-bin,
xrootconsole,
xsensors,
xsoldier,
xterm,
xtrace,
xtrkcad,
xtux,
xutils-dev,
xwrits,
xz-utils,
xzgv,
yabause,
yafc,
yasm,
yasr,
yauap,
ytalk,
ytree,
yubikey-server-c,
z88dk,
zapping,
zathura,
zenity,
zephyr,
zile,
xsunpinyin,
xtron,
yics,
zfs-fuse,
zorp,
zsh,
zsh-beta,
zssh,
