a2ps,
oroborus,
owfs,
p0f,
paperkey,
parser,
parted,
patch,
patchutils,
pciutils,
pclock,
pgbouncer,
photopc,
php5,
pidgin,
player,
plotutils,
pmccabe,
polybori,
pork,
portabase,
poster,
postgis,
postgresql-8.4,
postgresql-9.1,
potrace,
pptpd,
proftpd-dfsg,
pspp,
ptop,
pv,
pxe-kexec,
python2.6,
python2.7,
python3.2,
qiv,
qprint,
qt4-x11,
quagga,
raptor,
raptor2,
rasqal,
ratfor,
ratpoison,
rc,
rcs,
rcs-blame,
quarry,
rats,
realtimebattle,
recode,
recutils,
redir,
redland,
regina-rexx,
remake,
remctl,
renameutils,
rinetd,
rplay,
rrdcollect,
rrep,
rubberband,
rush,
s390-tools,
sane-backends-extras,
sane-frontends,
sary,
sane-backends,
scmxx,
scrot,
sdcv,
sed,
sfftobmp,
sflphone,
shapetools,
sharutils,
shishi,
siege,
sitecopy,
slashem,
slurm-llnl,
sma,
smartmontools,
snort,
socks4-server,
sofia-sip,
soundmodem,
source-highlight,
spamassassin,
spandsp,
speex,
spell,
squid3,
ssed,
survex,
spellutils,
squid,
swig2.0,
sxid,
syrep,
syslinux,
sysnews,
tcpdump,
texinfo,
texlive-base,
tar,
therion,
thrust,
tiff,
tiff3,
time,
timidity,
tinc,
tmpreaper,
tmux,
tofrodos,
transcode,
transfig,
trickle,
trueprint,
ttfautohint,
tthsum,
uclibc,
udftools,
unac,
units,
uptimed,
util-linux,
uucp,
vigor,
virtualbox,
visualboyadvance,
vite,
vlc,
vnc4,
vorbis-tools,
vorbisgain,
vxl,
warmux,
wdiff,
wget,
wine,
wine-gecko-1.4,
wise,
wmnet,
wmpinboard,
wp2x,
wput,
wuzzah,
wv,
wyg,
virtuoso-opensource,
x264,
xbmc,
xdelta,
xine-ui,
xmp,
xorp,
xplanet,
texlive-bin,
xsane,
xscorch,
xtermcontrol,
xz-utils,
xzgv,
xzip,
yafc,
yiyantang,
z80asm,
z88dk,
zile,
zimpl,
yagiuda,
