9base,
gnomekiss,
gnotime,
gnome-applets,
gnubg,
gnuchess,
gnuplot,
gnushogi,
goaccess,
gob2,
gopher,
gp2c,
gpaint,
gpe-calendar,
gpsbabel,
gpstrans,
gputils,
grace,
graphviz,
grass,
gsl,
gtick,
gtk+3.0,
gtk-chtheme,
gtk-gnutella,
gtk-sharp2,
gtk2-engines-magicchicken,
gtkam,
guava,
gwaei,
gzip,
hal,
hardinfo,
heimdal,
hexer,
hime,
hostap-utils,
hpsockd,
hunt,
hypre,
i2c-tools,
i3-wm,
icecast2,
icedove,
iceweasel,
icon,
ifile,
iftop,
imwheel,
inetutils,
hfsutils,
httest,
inn2,
instead,
iodine,
irda-utils,
isakmpd,
isdnutils,
isns,
isync,
italc,
iw,
jack-rack,
jemalloc,
jesred,
jinput,
jove,
jpegpixi,
kanjipad,
kde-workspace,
kfreebsd-8,
kfreebsd-9,
kimwitu,
kinput2,
klibc,
knews,
krb5-auth-dialog,
kterm,
l2tpns,
ladr,
ladvd,
lame,
lbcd,
lcdproc,
ldns,
libapache2-mod-python,
libapreq2,
libarchive,
libastro-fits-cfitsio-perl,
libaqbanking,
libbluray,
libburn,
libcdio,
libbind,
libconvert-binary-c-perl,
libcsoap,
libdbd-sqlite2-perl,
libdv,
libf2c2,
libforms,
libfprint,
libgnomecups,
libgphoto2,
libhtml-parser-perl,
libibcommon,
libid3tag,
libidl,
libinstpatch,
libisofs,
libixp,
libkarma,
libksba,
libmemcached,
libmtp,
libnet-rawip-perl,
libnids,
libnss-pgsql,
libpam-afs-session,
libqb,
libquicktime,
libquvi,
libreoffice,
libs3,
libsamplerate,
libsepol,
libshout,
libsieve,
libsigrokdecode,
libskk,
libsmi,
librsync,
libtar,
libtext-bibtex-perl,
libupnp,
libupnp4,
libuser,
libvirt,
libvorbis,
libwnck,
libwnck3,
lilv,
linux,
linux-atm,
linux-igd,
linux-tools,
linuxtv-dvb-apps,
lm-sensors,
lmms,
logjam,
lrzip,
lsof,
luakit,
luatex,
lvm2,
lzop,
macutils,
magic,
magicrescue,
mailto,
mailutils,
man-db,
man2html,
matchbox-keyboard,
mc,
mcl,
mcrl2,
mdadm,
mdbtools,
mdns-scan,
mediatomb,
memcached,
metacity,
microdc2,
minicom,
mixmaster,
mlton,
monit,
mono,
morse,
mpage,
mpc,
mrtg,
mrtgutils,
msn-pecan,
mspdebug,
multicat,
multipath-tools,
mupen64plus-core,
mutt,
mysql-5.5,
nabi,
namazu2,
naspro-bridge-it,
nat,
navit,
ncdt,
ncdu,
ncftp,
ncview,
net-tools,
netcdf,
netdiag,
netexpect,
netrek-client-cow,
netris,
netsurf,
neverball,
nfdump,
mpich2,
mutter,
nfswatch,
nickle,
nip2,
nmap,
nmzmail,
node,
notify-osd,
nsd3,
nsis,
nss,
nss-mdns,
ntop,
numactl,
numdiff,
nut-nutrition,
nvi,
nwchem,
oar,
obexd,
obfsproxy,
ocfs2-tools,
ofono,
omega-rpg,
open-axiom,
open-iscsi,
open-vm-tools,
openafs,
openais,
openbabel,
openbgpd,
opencryptoki,
opendkim,
opendnssec,
openldap,
openmpi,
openntpd,
openocd,
opensc,
openscap,
ovito,
owl,
p11-kit,
pads,
pam-tmpdir,
paraview,
partconf,
patch,
patchutils,
pbs-drmaa,
openvswitch,
pcaputils,
pcsxr,
pecomato,
pegasus-wms,
perl,
pgbouncer,
php5,
pidgin,
pidgin-twitter,
pilot-link,
plan,
plucker,
pmacct,
pmake,
polipo,
polyglot,
pork,
postgresql-9.1,
ppp,
pptp-linux,
premake,
pristine-tar,
pinentry,
pulseaudio,
pyamf,
pylibssh2,
pyopenssl,
pysparse,
pyspatialite,
python-apsw,
python-dmidecode,
python-pysqlite2,
python-scipy,
python2.6,
python2.7,
python3.2,
python-pywcs,
qemu,
qemu-kvm,
qgis,
qtl,
quagga,
qutecom,
r-base,
r-cran-pscl,
r-cran-slam,
radiusclient,
radiusclient-ng,
radsecproxy,
radvd,
rant,
rcs-blame,
radiusd-livingston,
rdd,
readline5,
readline6,
redhat-cluster,
redis,
rhash,
ristretto,
rlinetd,
rlpr,
rng-tools,
roaraudio,
rpcbind,
rssh,
rsync,
rtai,
ruby-gnome2,
ruby1.8,
ruby1.9.1,
rzip,
samba,
samba4,
saods9,
sarg,
schism,
sciscipy,
sbcl,
scrub,
sdcc,
sdpnetstat,
seabios,
see,
seesat5,
setools,
sflphone,
shed,
shell-fm,
sic,
siege,
silo,
simh,
sks-ecc,
skyeye,
slurm-drmaa,
slv2,
snacc,
snarf,
snort,
slrn,
spl,
spooles,
sprng,
sqlite,
sqlite3,
squid3,
sssd,
starpu,
strace,
subversion,
subvertpy,
sucrack,
superlu,
swami,
spd,
squid,
swi-prolog,
swig2.0,
swish++,
sxiv,
sympow,
syrep,
syslinux,
systemd,
t-coffee,
t1lib,
tachyon,
tcllib,
tcltrf,
tcng,
tcpdump,
tcpflow,
tcpser,
tcpslice,
tcptraceroute,
tcpxtract,
tdl,
telepathy-gabble,
telepathy-haze,
telepathy-logger,
telepathy-qt,
telepathy-rakia,
telepathy-salut,
tellico,
tenmado,
tennix,
tf,
tf5,
tgif,
tgt,
telepathy-glib,
the,
tightvnc,
tkdesk,
tnef,
tnftp,
tor,
torque,
transmission,
traverso,
tree-puzzle,
trickle,
tsdecrypt,
transfermii,
twm,
twolame,
u-boot,
uclibc,
uclmmbase,
udisks-glue,
uim,
unagi,
undertaker,
unrtf,
unworkable,
utalk,
uucp,
uzbl,
vagalume,
vavoom,
vcdimager,
vde2,
vdmfec,
vdr,
vftool,
vigor,
viking,
vilistextum,
vips,
vlock,
vnc4,
vo-amrwbenc,
vrfy,
vstream-client,
vtwm,
vxl,
wdm,
webauth,
whitedune,
wily,
wine,
wine-gecko-1.4,
wireshark,
wmforkplop,
wmhdplop,
wmii,
wordnet,
x11-apps,
vzctl,
x11vnc,
xbill,
xblast-tnt,
xbmc,
xcb-util-renderutil,
xchat,
xchat-gnome,
xdemineur,
xdm,
xdvik-ja,
xen,
xfingerd,
xfonts-utils,
xfsdump,
xfsprogs,
xine-lib,
xinetd,
xless,
xotcl,
xpat2,
xppaut,
texlive-bin,
xrootconsole,
xterm,
xymon,
xz-utils,
yardradius,
yash,
ygraph,
ytree,
yubico-pam,
yubikey-server-c,
zbar,
zenity,
zfsutils,
zip,
zoem,
yics,
zfs-fuse,
zssh,
zyn,
